"constituency","winner_2021","winner_2026","seat_status"
"Ambattur","DMK","TVK","Flipped"
"Anaikattu","DMK","AIADMK","Flipped"
"Anna Nagar","DMK","TVK","Flipped"
"Anthiyur","DMK","AIADMK","Flipped"
"Arakkonam","AIADMK","TVK","Flipped"
"Aranthangi","INC","TVK","Flipped"
"Arcot","DMK","AIADMK","Flipped"
"Ariyalur","DMK","AIADMK","Flipped"
"Avadi","DMK","TVK","Flipped"
"Avanashi","AIADMK","TVK","Flipped"
"Bargur","DMK","AIADMK","Flipped"
"Bhavanisagar","AIADMK","TVK","Flipped"
"Bodinayakanur","AIADMK","DMK","Flipped"
"Chengalpattu","DMK","TVK","Flipped"
"Chengam","DMK","AIADMK","Flipped"
"Cheyyar","DMK","AIADMK","Flipped"
"Cheyyur","VCK","AIADMK","Flipped"
"Chidambaram","AIADMK","DMK","Flipped"
"Coimbatore (North)","AIADMK","TVK","Flipped"
"Coimbatore (South)","BJP","DMK","Flipped"
"Cuddalore","DMK","TVK","Flipped"
"Cumbum","DMK","TVK","Flipped"
"Dharapuram","DMK","AIADMK","Flipped"
"Dindigul","AIADMK","DMK","Flipped"
"Dr.Radhakrishnan Nagar","DMK","TVK","Flipped"
"Egmore","DMK","TVK","Flipped"
"Erode (East)","INC","TVK","Flipped"
"Erode (West)","DMK","TVK","Flipped"
"Gandharvakottai","CPI(M)","TVK","Flipped"
"Gingee","DMK","PMK","Flipped"
"Gobichettipalayam","AIADMK","TVK","Flipped"
"Gudalur","AIADMK","DMK","Flipped"
"Gudiyattam","DMK","TVK","Flipped"
"Gummidipoondi","DMK","TVK","Flipped"
"Hosur","DMK","AIADMK","Flipped"
"Jayankondam","DMK","PMK","Flipped"
"Jolarpet","DMK","AIADMK","Flipped"
"Kadayanallur","AIADMK","DMK","Flipped"
"Kalasapakkam","DMK","AIADMK","Flipped"
"Kallakurichi","AIADMK","TVK","Flipped"
"Kancheepuram","DMK","TVK","Flipped"
"Kangayam","DMK","AIADMK","Flipped"
"Karaikudi","INC","TVK","Flipped"
"Karur","DMK","AIADMK","Flipped"
"Katpadi","DMK","TVK","Flipped"
"Kavundampalayam","AIADMK","TVK","Flipped"
"Kilpennathur","DMK","AIADMK","Flipped"
"Kilvaithinankuppam","AIADMK","TVK","Flipped"
"Kinathukadavu","AIADMK","TVK","Flipped"
"Kolathur","DMK","TVK","Flipped"
"Kovilpatti","AIADMK","DMK","Flipped"
