"party","vote_share_2021","vote_share_2026","change"
"Desiya Makkal Sakthi Katchi","0.01","0.00","-0.01"
"RPI(A)","0.01","0","-0.01"
"Tamilaga Makkal Thannurimai Katchi","0.01","0","-0.01"
"Anaithu Makkal Puratchi Katchi","0.02","0","-0.02"
"My India Party","0.03","0","-0.03"
"Tamil Nadu Ilangyar Katchi","0.05","0.00","-0.05"
"SDPI","0.06","0","-0.06"
"IJK","0.08","0","-0.08"
"IUML","0.48","0.29","-0.19"
"BSP","0.22","0","-0.22"
"CPI(M)","0.85","0.60","-0.25"
"IND","1.39","1.06","-0.33"
"NOTA","0.75","0.41","-0.34"
"CPI","1.09","0.66","-0.43"
"INC","4.27","3.37","-0.90"
"AMMK","2.35","0.86","-1.49"
"PMK","3.80","2.17","-1.63"
"NTK","6.58","4.00","-2.58"
"MNM","2.62","0","-2.62"
"AIADMK","33.29","21.21","-12.08"
"DMK","37.70","24.19","-13.51"
